anno,area,scopo,notti
2020,ITG1,HOLL,11107000
2020,ITG1,HOLS,1329000
2020,ITG1,TRIP,12565000
2020,ITG2,HOL,12231000
2020,ITG2,HOLL,11682000
2020,ITG2,HOLS,548000
2020,ITG2,TRIP,12297000
2021,IT,BUS,10617000
2021,IT,HOL,227150000
2021,IT,HOLL,199427000
2021,IT,HOLS,27723000
2021,IT,TRIP,237767000
2021,ITC1,BUS,562000
2021,ITC1,HOL,5911000
2021,ITC1,HOLL,4298000
2021,ITC1,HOLS,1613000
2021,ITC1,TRIP,6473000
2021,ITC2,HOL,1452000
2021,ITC2,HOLL,1133000
2021,ITC2,HOLS,319000
2021,ITC2,TRIP,1465000
2021,ITC3,BUS,327000
2021,ITC3,HOL,12852000
2021,ITC3,HOLL,11290000
2021,ITC3,HOLS,1562000
2021,ITC3,TRIP,13178000
2021,ITC4,BUS,1365000
2021,ITC4,HOL,12511000
2021,ITC4,HOLL,9659000
2021,ITC4,HOLS,2852000
2021,ITC4,TRIP,13876000
2021,ITD1,BUS,819000
2021,ITD1,HOL,4882000
2021,ITD1,HOLL,4407000
2021,ITD1,HOLS,475000
2021,ITD1,TRIP,5700000
2021,ITD2,HOL,7492000
2021,ITD2,HOLL,5993000
2021,ITD2,HOLS,1498000
2021,ITD2,TRIP,7689000
2021,ITD3,BUS,798000
2021,ITD3,HOL,11294000
2021,ITD3,HOLL,8965000
2021,ITD3,HOLS,2329000
2021,ITD3,TRIP,12092000
2021,ITD4,BUS,476000
2021,ITD4,HOL,3311000
2021,ITD4,HOLL,2570000
2021,ITD4,HOLS,740000
2021,ITD4,TRIP,3787000
2021,ITD5,BUS,868000
2021,ITD5,HOL,22533000
2021,ITD5,HOLL,19232000
2021,ITD5,HOLS,3302000
2021,ITD5,TRIP,23401000
2021,ITE1,BUS,661000
2021,ITE1,HOL,21561000
2021,ITE1,HOLL,17586000
2021,ITE1,HOLS,3976000
2021,ITE1,TRIP,22222000
2021,ITE2,BUS,160000
2021,ITE2,HOL,2481000
2021,ITE2,HOLL,1742000
2021,ITE2,HOLS,740000
2021,ITE2,TRIP,2642000
2021,ITE3,HOL,8601000
2021,ITE3,HOLL,7562000
2021,ITE3,HOLS,1039000
2021,ITE3,TRIP,8741000
2021,ITE4,BUS,2070000
2021,ITE4,HOL,11381000
2021,ITE4,HOLL,9680000
2021,ITE4,HOLS,1701000
2021,ITE4,TRIP,13451000
2021,ITF1,BUS,126000
2021,ITF1,HOL,7183000
2021,ITF1,HOLL,6528000
2021,ITF1,HOLS,655000
2021,ITF1,TRIP,7308000
2021,ITF2,BUS,0
2021,ITF2,HOL,1164000
2021,ITF2,HOLL,1139000
2021,ITF2,TRIP,1164000
2021,ITF3,BUS,345000
2021,ITF3,HOL,16373000
2021,ITF3,HOLL,14825000
2021,ITF3,HOLS,1548000
2021,ITF3,TRIP,16718000
2021,ITF4,BUS,307000
2021,ITF4,HOL,28370000
2021,ITF4,HOLL,27627000
2021,ITF4,HOLS,743000
2021,ITF4,TRIP,28677000
